,text
0,"Misery Rises With Rivers In Bangladesh
1988-09-06T05:00:00.000Z
Wad-ing through waist-deep water late last week in the Muhammadpur residential district of the capital, Iqbal Ahmed, his few belongings on his shoulder, headed for the school on the Mirpur Road, which was still unaffected by the devastating floods.
A few hours later, Mr. Ahmed, 45 years old, waded back 300 yards from the school to his home at the refugee camp where he was forced by the flood, to pick up his ill 5-year-old daughter.
At first he could not find her. Then, Mr. Ahmed, groping in the flooded shack where he lives with his family, discovered her lying dead in a pool of water into which she apparently fell in her sleep. There was some solace: at least Mr. Ahmed was able to bury his daughter, while bodies of many flood victims in Bangladesh are being put on makeshift rafts - there not being enough dry space for burial.
Emaciated, unfed and without sleep for 24 hours, Mr. Ahmed mumbled: ''What will I do now? I'll go mad.''
Such poignant uncertainty seems to have gripped much of this country as flood waters cover the land, leaving at least 550 people dead and 25 million homeless. And the toll could go much higher, officials fear. One-third of Bangladesh is reported to still be under water.
''The situation is beyond any description, any definition,'' Information Minister Mahbubur Rahman told reporters today.
Flooding during the monsoon season is an annual event in this nation and is highly beneficial to agriculture. But the 1987 floods, which killed 1,600 people, were described as the worst in 70 years, and President H. M. Ershad has called this year's devastation ''far worse than last year's.''
The Brahmaputra and the Ganges, two of the major rivers in Bangladesh, a nation whose geography is delineated by rivers and deltas, had fallen since Sunday night, but the situation remained grave. Heavy rain fell again this afternoon, and the Dhaka weather bureau predicted that rain ''may continue intermittently, further swelling rivers already flowing above their danger levels.'' Prices Soar
In the capital, prices of such necessities as rice, cooking oil, salt and kerosene shot up anywhere from 30 percent to 200 percent. Kerosene to light lamps was in the shortest supply, with electricity cut off in most areas.
Mr. Rahman, the Information Minister, said today that 21 million homes had been washed away and that more than 30 million of the country's 110 million people were directly affected. He added that the actual losses will be known only after the water recedes.
Mr. Rahman said three more districts have been flooded, raising the number affected to 50 out of 64 districts in the country.
Communications in most areas affected remained disrupted or nonexistent, making it all but impossible to obtain food, medicine and other relief goods. Lack of pure drinking water is reported to have caused an outbreak of diarrhea and other stomach ailments. A senior Health Ministry official, Taslim Ahmed, said the number of people suffering from dysentery is also rising. The Matter of Starvation
Although the Government denied that anyone had yet died of starvation, witnesses said a man died today at a relief center in the Kishalaya school, in the Zigatala district of the capital.
Officials said the United States, Britain, Japan, Australia, Canada, India, Pakistan, and Saudi Arabia have responded to the Government's appeal for help.
The devastation has forced the authorities to abandon their efforts to rescue an estimated two million people marooned in remote areas. They are inaccessible because of the lack of small boats.
Road and rail communication in the flooded areas collapsed 10 days ago.
In some districts like Faridpur, Madaripur and Sariatpur in the south, helicopters carrying relief supplies cannot land for lack of dry space.
Relief Ministry officials acknowledged that their efforts are being severely hampered. ''We have food in our stock,'' President Ershad said, ''but the question is how to deliver it.'' It has similarly become all but impossible for the authorities to accurately assess the extent of damage and the loss of life.
Aerial photos showed village after village leveled by flood waters. Panic in Capital
In Dhaka itself, where flooding is unusual, a panic seemed to have spread among the estimated two million out of five million city dwellers affected.
Men, women and children by the thousands - with a few essentials on their heads and babies tightly held to mothers' breasts - are wading through water in search of shelter. Older people unable to walk are being piggybacked.
They are mostly the poor; others who are better off, were seen escaping by boats and rafts that now ply most of the streets of Dhaka.
The powerful are not immune. The state television network has showed pictures of President Ershad's official residence under knee-deep water. Airport Also Flooded
Dhaka, severed a week ago by road and rail link from the rest of Bangladesh, is cut off from the outside world, as well. The international airport was closed on Friday, its runway flooded.
All schools have been shut down in the affected areas, and inmates of hospitals and prisons evacuted.
Gas for cooking is in critically short supply, and the wells, now under water, have become contaminated with sewage.
For some, though, the picture is not altogether bleak. Boatmen are doing a brisk business. And some children, too young to fathom the magnitude of the disaster, are enthusiastic. They can be seen splashing and frolicking in the water."
11,"Date Published:2019-02-27 00:00:00      
Farmers are acutely at risk of contracting sewage-borne diseases Comilla City Corporation's unplanned drainage system is turning farmland into water bodies; as polluted water is flooding hundreds of hectares of farmland. However, the city corporation has undertaken several mega projects to improve  rural infrastructure and increase opportunities for urbanization. Among these projects, one of them was undertaken to ensure a better sewerage system. However, the newly-constructed drainage system--in nine wards of Comilla City Corporation, including wards 23 and 24-- has brought sewage onto arable farmland, into open fields, and near educational institutions; mostly harming farmers in the process. Diseases--such as: cholera, dysentery, typhoid, and diarrhea--are emerging from these unhealthy conditions. Various crops, dwellings, schools, and other institutions, are in danger of becoming water-logged. Farmers complain that due to the negligence of the city corporation officials, the drains empty onto farmland instead of into rivers or canals. They claim that if the sewerage system had been carefully planned, the farmers would not be suffering. Comilla City Corporation Mayor Monirul Haque Sakku said the drainage line empties onto farmland for various reasons; including that some cases filed against construction of the line, by people who do not want drains over their land, have left the process incomplete. He said: ""We are trying to find a solution to this problem."" Visiting the area, this correspondent found that starting from the Border Guards Bangladesh (BGB) Comilla sector, the main drain pipe ends near Nandanpur Bishwaroad. Branches of drainpipes from other areas link to this main drain line, leading the sewage water away to places near farmlands, houses, and educational institutions in several areas, including: Gandhamati, Changini, Batabaria, and Rampur. The main drain line of the 23rd and 24th ward ends near Batabaria school, while Ghungaijhuri canal is only 2700 square feet away. If the drain had been extended by 2700 square feet--over the Changini-Nandanpur area to the canal--then the problems would not have existed. There are at least 30 government and non-government institutions in wards 23 and 24, including: the Bangladesh Academy for Rural Development (Bard), the BGB sector headquarters, Comilla University, a section of cantonment, a cadet college, Shalban Vihara, and the Buddhist Bihar Museum. Locals said if the unplanned sewerage system persists, these places will flood with polluted water. A farmer from Nandanpur, Abul Hashem said they are struggling to yield crops as contaminated water is flooding their arable farmland. They demand the pipeline be moved so that it ends at Ghungaijhuri canal, rather than on the farmland. Many people--including Md Ayub Ali, Md Lutfur Rahman, Zahid Hossain Mithu, and Md Abul Kalam--have complained that apart from harming the crops, farmers are also contracting skin diseases from the contaminated water. Dr Mosleh Uddin, president of Comilla Environment Movement, said: ""Due to the dirty and contaminated water of the drains, the farmers of those areas are [working] in extremely dangerous conditions. ""All the polluted water from the city is flowing onto agricultural land. As there is no way to dispose of the sewage--other than in the southern area of the city corporation--the area will be considered a recycling zone."" He said it is possible to protect the agricultural land--at least in those areas--by creating a recycling project. Comilla City Corporation Mayor Monirul Haque Sakku said: ""The work to extend the drainpipes, for them to empty into canals, is going ahead according to the master plan. It will be completed in phases. He also said alongside it, there is a plan to extend the main drain line of Nandanpur towards Ghungaijhuri canal. The mayor said: ""A man named Abdul Jalil from ward 24 has filed cases against seven city corporation officials, including me. Construction of drains in various places is hindered due to these problems."""
21,"Date Published:2019-10-07 00:00:00      
Locals accused the administration of doing little to help them With the sudden  rise in water levels, land erosion by the Madhumati, and Nabaganga rivers has taken a serious turn at different places of Narail, forcing people to look for safer places. According to local sources, the erosion has taken a serious turn in Ghagha, Mollikpur, Shierbr, and Makrail areas along Madhumati's banks, and at 15 points including Kargati, Soto Kalia, and Suktogram, of Nabaganga banks. People  of the affected areas have accused the local Water Development Board (WDB) of its negligence as water from the rivers poured into houses in Kalia upazila. ""I have never seen Nabaganga rise so much in the last 35 years. My house was destroyed in a matter of seconds,"" said Ilias Ali, a resident of Sukragram. Many, who have lost their houses in river erosion, are living with their relatives, but some like Julmat Sheikh of Kalia upazila's Noragati village, have been staying under the open sky with their families as they have nowhere else to go. Locals accused the administration of doing little to help them. According to the locals, the WDB has failed to prevent recurring erosion because of their lackadaisical attitude.  Babra-Hachla Union Parishad Chairman Mojammel Hossain said the situation will be brought under control soon. The local contractors declined to perform the emergency work at the beginning of monsoon as WDB officials usually demand 10 percent bribe for such projects, alleged contractors. When contacted, WDB Executive Engineer Md Zulfikar Ali declined to comment over the issue. Meanwhile locals formed a human chain in the district yesterday protesting the  negligence of WDB. Among others, Monisha Ghosh, Profullo Barman, Liton Kumar Ghosh, Kalyani Barman, and Modon Ghosh of the affected areas spoke at the gathering. They urged the administration to take immediate steps to save the people from becoming victims of river erosion."
25,"Date Published:2019-08-01 00:00:00      
This made over 200 families of low-lying areas homeless, locals and Water Development Board officials said. Padma River erosion took an alarming turn in the last few days, rendering over 200 families homeless in the Rajeswhawar union of the Chandpur Sadar upazila. The affected people of Rajarchar, Mander Bazar, Khaskandi, Lagnimararchar, and Dewan Bazar areas of the union said onrush of flood waters from upstream and heavy rain in the last few days  swelled Padma-Meghna, flooding the areas on its banks. This made over 200 families of low-lying areas homeless, locals and Water Development Board officials said. A large number of flood victims took shelter on nearby highlands including  Bashgari, Majherchar, Goal Nagar and Rayerchar. Hajrat Ali Bepari , chairman of the Rajeswhawar union said about a thousand other families, living close to the river, are passing their days in anxiety and fear of being devoured by the Padma in the near future. He also said the  erosion along vast areas on the river bank earlier washed away scores of homesteads, schools in the area. The situation had been deteriorated due to constant erosion, he added.  Erosion-hit Kamal, 40, and Akkel Ali, 35, of the union said they had been passing sleepless nights in fear of erosion. ""Where will we go? We are all poor people,"" said Akkel Ali. Gourango, Abul Kalam and Laila of Mander Bazar alleged that unplanned dredging had sped up the erosion.  Executive Engineer of Chandpur Water Development Board Abu Raihan said, ""During the monsoon season the water stream in the river is very high. There are strong vortex current flows. This place is very risky within the union."" He said they have nothing to do as the union is situated in the char area.  "
52,"Date Published:2019-05-27 00:00:00      
Around 60 kilometres of flood control embankment in Patuakhali and Barguna got badly damaged due to the tidal surges caused by the impact of cyclone Fani. Moreover, thousands of people at different villages in those two districts have been suffering a lot as their dwelling houses and vast tracts of agricultural land remained inundated due to the impact of the recent cyclone. Besides, tidal water keeps entering those villages through the damaged portion of the flood control embankment since the cyclone hit the southern region. Of the damaged embankment, around 30 kilometre is under Patuakhali Water Development Board (WDB), 10.5 kilometre under Kalapara WDB in Patuakhali and 18.5 kilometre is in Barguna, according to Patuakhali and Barguna WDB offices. Patuakhali WDB Executive Engineer Mohammad Hasanuzzaman said of the 30 kilometre, about 5.5 kilometre was damaged fully and 24.5 kilometre partly. The most affected villages are Mehendiabad, Ranipur, Golkhali, Hazikhali and Charkhali, all along the Payra river in Mirzaganj upazila. ""We have already sent a letter to the higher authorities, seeking allocation of fund to repair the badly damaged portion in an emergency basis,"" he said. Meanwhile, in Kalapara, around 10.5 kilometre dyke was badly damaged and tidal water keeps entering through the damaged portion in different villages. Of the villages, Kamarpur, Nizampur, Puran Mohipur, Yousufpur, Monoharpur, Najibpur under Mohipur union and Chairpara, Nawapara, Chowdhuripara, Nayakata, Munshipara, Chandupara, Hasnapara, Poshurbunia under Lalua union are most vulnerable. Abul Talukder, a resident of Nayakata village, said the flood control embankment along on the Ramnabad river was badly damaged during the super cyclone Sidr and later repaired hurriedly. Feroza Begum of Charipara village said they often suffer from waterborne diseases as their houses and croplands remained inundated during the rainy season. ""We cannot even cook our food properly during the rainy season,"" she said. Lalua Union Parishad Chairman Shawkat Hossain said at least 16 villages under his union have been inundated after a portion of the flood control dyke along the Ramnabad river broke down. Kumar Sastik, acting executive engineer of Kalapara WDB, said they sent a fax to the higher authorities for allocation of fund. After getting allocation we will take step to repair the dyke, he said. In Barguna, due to lack of repair around 18 kilometre of the flood control dyke at 37 spots is under threats. The most vulnerable areas are Chotobaliatali, Noltona, Lakurtala, Dalvanga, Angerpara, Jangalia, Patakata, Gudighata, Gulishakhali, Chalitatali and Noli under Barguna Sadar upazila, Boloybinia, Deshantorkathi and Jhopkhali under Betagi upazila, Kakchira, Charlathimara, Ruhita, Jintala and Padma under Pathorghata upazila, Ramna, Shafipur, Chechan, Shinrabunia and Borotaleshwar under Bamna upazila and Poshorbunia, Poshimghotkhali and Purbochila under Amtali upazila. Barguna WDB Executive Engineer Dipak Ranjon Das said they have informed their higher authorities about the damaged embankment."
82,"Date Published:2019-07-29 00:00:00      
Fair price has brought smile to vegetable farmers in flood free areas of Sadar, Nageshwari, Bhurungamari and Rajarhat upazilas. They grow different types of vegetables like pointed gourd, pumpkin, aubergine and bottle gourd in Kharif-1 (March-July) season, said Bimal Kumar De, sub-assistant agricultural officer of Department of Agricultural Extension (DAE) in Kurigram. Nine upazilas in the district have been affected by flood early this month and the floodwater started receding from the areas in the last couple of days. But the growers in eight unions of the four upazilas still continued harvesting the vegetables as floodwater could not enter their fields situated in highland areas. The agricultural officer said around 4,038 hectares of land in the district have been brought under vegetable cultivation this year. As the flood has affected 3,739 hectares out of 4,038 hectares of fields, vegetable prices have shot up, he said.  Saidur Rahman of Kaley village in Belgachha union of Sadar upazila said ""I have been cultivating vegetable in Kharif-1 season for the last four years and earning good profit."" He has cultivated pointed gourd on 12 decimals of land spending Tk 6,000 this year, said the farmer. ""I've already sold pointed gourds at Tk 10,000,"" said Saidur, adding that he is expecting to earn Tk 16,000 more from sale of the vegetable. Grower Rezaul Islam of Sanwashi village in Halokhana union under Sadar upazila said he cultivated aubergine on 10 decimals of land and pointed gourd on 22 decimals of land this season. ""I have already sold the vegetables at Tk 31,000. I'm also expecting to earn Tk 43,000 more in the next two months,"" said Rezaul. They are getting good profits from the vegetable farming this season every year, he said. Another farmer Akbar Ali of Chhinaye Haat village in Chhinaye union of Rajarhat upazila said he cultivated aubergine on 40 decimals of land and pumpkin on 16 decimals of land spending Tk 19,000 in May this year. ""I'm expecting to earn Tk 42,000 from sale of the vegetables in the next two months,"" he said. Kurigram DAE Additional Deputy Director (Plant Protection) Sasty Chandra Roy said there are many vegetable growers in Rajarhat and Sadar upazilas and they are known as adapted farmers, who cultivate different types of vegetables during this period of the year, and get a good profit. In the rainy season, extra care is needed for pollination, he said."
83,"By the River, Refuge but Little Relief
1988-09-07T05:00:00.000Z
Clustered on a riverbank, more than 8,000 residents of this town in Bangladesh, about 100 miles south of Dhaka,were forced today to take shelter any way they could.
In outlying areas, those displaced by the floods took refuge in treetops and on tin roofs - survival having become a matter of ingenuity and improvisation.
No relief had reached this town in Bhola district today, 10 days after the start of the extensive flooding that has taken at least 550 lives and left much of Bangladesh under water.
''How long will I survive with my family if this continues?'' asked one of those living on the embankment, Abdul Haq, 55, head of a family of nine. An Annual Event
The overall flood situation in this south Asian nation remained basically unchanged, though the levels of most rivers had dropped further after the devastation wrought by the monsoon, the wind-driven torrential rain that occurs annually in this part of the world. The monsoon is both devastating and beneficial: the death and destruction it brings is repetitive, yet agriculture -and particularly rice cultivation - depends on it.
During a two-hour helicopter trip to and from Bhola today, vast sheets of water stretched as far as the eye could see.
In the affected districts - Narayangang, Munshigang, Faridpur and Chandpur - the treetops and tin roofs still protruded above water. Some communities, and the district headquarters of Narayangang and Munshigang, 11 and 20 miles south of Dhaka respectively, measured the flooding at knee-deep levels. Boats were seen plying the roads along with rickshaws. Many Are Cut Offs
A helicopter pilot, flying over vast areas during the last few days, said he has seen many people trapped by flood waters asking for food.
Information Minister Mahbubur Rahman said that about 1,700 relief centers were in operation throughout the country. On one such place in Narayangang hung a sign reading ''Ershad Gruel Kitchen.''
In Nichkasia, Mr. Haq and about 200 other flood victims rushed toward three journalists today, having mistaken them for relief officials.
''They don't care about us,'' said Mohammad Musa, 60 years old. ''They show up only when such great disasters befall us.''
Naziur Rahman Mia, Minister of State for Local Government and Rural Development, said that more than 200,000 of of the district's 1.4 million people had been affected by the flooding and that about 70,000 had lost everything they owned.
''Now the main problem is erosion of the river,'' said Mr. Mia, who is from this district. ''Already, 22 square miles have been gobbled up by the Meghna, leaving thousands homeless.''
He said he would assess the damage and provide relief as it is needed. Surviving on Biscuits
Standing nearby was an 11-year-old girl, who gave her name as Fajilatunnesa, who said she had received a small package of biscuits four days ago, but nothing after that.
The Bhola area becomes nearly inaccessible in the rainy season. The five-mile road to the district headquarters is mostly unpaved and full of potholes and deep ruts. It took about half an hour to travel those five miles by jeep.
Health officials throughout the country continued to express concern both over hunger of flood victims and disease in places where there is little or no pure drinking water.
A daily newspaper, Ittefaq, reported large-scale outbreaks of diarrhea and other intestinal ailments. Health Minister Abdul Munim said 2,250 medical teams are now working in the flooded areas."
84,"Date Published:2019-10-01 00:00:00      
This year, around 98,688 families were directly affected by the floods, while 13.60 lakh families were affected partially. Moreover, 34,999 houses were damaged completely and 5.47 lakh were damaged partially. Reportedly, relief materials for the affected people were also inadequate, although the government might have made sufficient allotment. These people are still struggling to find a livelihood and rebuild their houses. And as the flood water recedes, river erosion has started taking its toll in many areas, destroying schools and homesteads of people. While the state minister for the ministry of disaster management and relief has termed TIB's allegations as baseless, the fact remains that many of the flood victims have been left with no relief at all. We think the government should move away from its denial mode and conduct investigations into the allegations made by the corruption watchdog. The institutional limitations in the government's planning of relief distribution, rehabilitation programmes, emergency response and overall preparedness for such a disaster should be addressed properly for better management of floods in the future. Also, stringent action should be taken against those, including the public representatives, involved in corruption."
87,"Water Recedes, Spirits Rise in Dhaka
1988-09-08T05:00:00.000Z
The sun was shining in Dhaka today, the water was receding, and for a moment at least, there was a more hopeful air in city neighborhoods.
In a few weeks, perhaps even a few days, it may not be so. Welfare agencies fear that the lowering tide from the devastating floods will leave epidemic diseases in the slate-gray mud.
But today, shops were open in the city center, which escaped the flooding. The international airport, an island of sorts on a waterlogged plain, began to function again after the annual monsoon rains left much of the nation under water and millions homeless.
Officials said today that the death toll from the floods had risen to more than 800. They said at least 150 people had died in less than 24 hours, most of those from diarrhea and dysentery caused by impure water and rotten food. The central Government's announced death toll is slightly more than half that, but is widely considered far too low. Unofficial tabulations in Dhaka newspapers run to more than 1,200, and communications with many outlying areas are still out.
Bicycle rickshaw pullers were doing a brisk business along roads where drivers feared to take their cars, areas that are still under water. Spirit of the Marketplace
Submerged streets were full of indefatigable entrepreneurs - fellows who will push your car for anything you can spare, children standing in water for a pittance to show a driver how deep it is, a pushcart vendor-turned-boatman who grinned with embarrassment each time he beached his leaky vessel on a curb or an unseen bush.
Boats themselves are a new business. Tiny skiffs that once cost less than $20 are being hustled in the wetter neighborhoods for as much as $50, a huge amount of money for the very poor.
Some families have no choice but to buy one anyway. A boat takes marooned people to the markets for food. It allows them to live at home - albeit often on their traditional flat rooftops, from which they can keep looters away. A boat also saves slogging barefoot through waters polluted with sewage and infested with snakes.
The better-off residents of Dhaka concede that, this time, it is to some extent a ''middle-class flood.'' The people of Bangladesh, most rural and poor, are used to the annual inundation of their land and homes. Indians Are Blamed
The flooding is worse this year because south Asia in general, and India in particular, have had a record monsoon rain. Hundreds of people have also died in eastern India.
A commonly heard explanation here is that ''the water comes from India.''
Every year there is concern about India's deforested hills and mountains and its uncompleted flood-control programs, which allow flood waters to tumble through Bangladesh on their way to the sea. This year, the complaint is heard more often because the water has washed into the capital.
Dhaka is a city that can empty its streets quickly in a crisis. Political tension seems to be a recurrent part of life here, since the days when Bangladesh was the eastern region of Pakistan.
Today, however, there was no such anxiety but , if anything, a sense of making the best of a terrible situation.
''Pani, pani,'' a man said with a rueful smile, shaking his head and using the Bengali word for water, as he hoisted a parcel wrapped in a bandanna into the air. Then he plunged in up to his neck on the way home from shopping.
Bangladeshis, the majority of whom are Moslems, have been augmenting official relief efforts with their own makeshift projects.
Tonight, as dusk fell on a sodden community in south Dhaka, a group of energetic young men arrived with two barrels of clean, fresh drinking water, which they began to distribute in a school and along a muddy highway median.
One of them, Nakim Mahmud Narullah, a law student at Dhaka University, said he and his three colleagues were volunteers for the Islamic Dawa Complex, a charitable organization. Islam ranks welfare high among the obligations of its adherents.
Asked why he and his friends were standing there in their immaculate clothes, giving drinks and water-purification tablets to the children of beggars, he replied:
''We are Moslems. It is our duty.''"
111,"IDEAS & TRENDS; Once More, the Earth Visits Disaster on the Plains of Bangladesh
1988-09-11T05:00:00.000Z
SPRAWLING across a vast delta where three of the world's great rivers meet, Bangladesh is the drainpipe of Central Asia. In bountiful times, the rich alluvial silt that covers most of the country yields as many as three rice crops a year. But when the drainpipe overflows, as it did two weeks ago, Bangladesh becomes a land reminiscent of Bruegel's visions of triumphant death.
In a 10-day period of torrential monsoon rain that ended last week, more than 22 inches fell in some regions, and rainfall throughout the country was twice as much as normal for such a period. When the rain finally let up, 50 of the country's 64 administrative districts lay under a sheet of water that covered roads to depths of up to eight feet.
Governments and relief organizations throughout the world hastened to send food and medicine, but as usual in such disasters, most of Bangladesh's 110 million inhabitants were isolated by the flood and beyond immediate help.
Hundreds died when the Brahmaputra, Ganges and Meghna Rivers overflowed. When the bacteria-laden water began to subside last week, germinating intestinal diseases lingered, tainting wells, rice paddies and streams. Water-borne illness is a principal cause of Bangladesh's 12 percent infant mortality rate.
For the people of long-suffering Bengal, disaster never seems to end. Though this year's floods were particularly destructive in the region, some flooding occurs nearly every year, shifting land, dispossessing farmers and spreading disease.
Since the bloody birth of Bangladesh in 1971, some of the nation's leaders have blamed India, their one-time ally, for contributing to both floods and droughts. India and Bangladesh have often been at odds over the equitable division of water from the Brahmaputra, the Ganges and other rivers on which both countries depend. Bangladesh officials have accused India of disrupting the flow with its dams, and of worsening the silting problem by permitting extensive deforestation of regions drained by the rivers. Long, Slow Flooding
This year, although the overflowing of rivers originating in India, Nepal and Tibet apparently exacerbated matters, climatologists believe that the main cause of the disaster was rain in Bangladesh itself. Aside from the tea-growing hill country in the northeast, Bangladesh is as flat as a board and only a few feet above sea level. In hard rains, the shallow, sluggish rivers quickly overflow. Once inundated, the countryside takes weeks to drain.
The underlying problem is Bangladesh's yearly exposure to the southwest monsoon. As climatologists explain it, the monsoon affecting South Asia pivots around western China, where the sun warms the ground and the ground warms a rising column of air. This mass of rising air sucks in cooler air from the oceans, notably the Bay of Bengal, creating sea breezes in coastal areas.
As the moisture-filled air from the sea moves inland, it is warmed and pulled into the rising column. When the column reaches the cold air at high altitude, the moisture condenses. The rain is especially likely to begin over land that rises abruptly from a plain. This year, the rain was torrential where the Bangladesh highlands rise above the flat rice and jute fields.
No one knows why monsoon rains and the cyclonic storms that sometimes accompany them are destructive in some years and mild in others. But climatologists have a growing suspicion that ''active'' monsoons like the one Bangladesh has just been through are closely related to a phenomenon experts call the El Nino-Southern Oscillation.
Every few years, the surface water off the west coast of South America becomes warmer than usual, heating the air above it and disturbing circulation patterns in the atmosphere throughout the world. During a typical El Nino event, normally rainy regions are sometimes stricken by droughts, and normally parched areas are drenched. In 1982-83, the world experienced the most severe El Nino event on record, which damaged crops and fishing industries in regions as widely separated as New Zealand, California and Africa. Scientists believe it also perturbed carbon dioxide and ozone concentrations and may even have slightly slowed the Earth's rotation on its axis.
Oddly enough, however, the years when El Nino activity peaks seem to correspond to those in which the monsoon season in Bangladesh is mild, and vice versa. The most recent El Nino event ended last March, and some experts believe that this might have been taken as a sign that the monsoon in Bangladesh this summer would be severe.
No one yet knows what the connection between El Nino and the monsoon may be. Nor is anyone sure that being able to predict bad weather would really help Bangladesh much. The country's impoverished masses have nowhere to go, much as the many Bangladeshis who would like to emigrate to Pakistan or India. Flood control measures in a country that is mostly a big flood plain are limited.
''At any rate,'' a public health official in Dhaka once said, ''the monsoon helps to assure our supply of the one commodity in which we are rich: misfortune.''"
