,text
1,"Date Published:2020-04-04 00:00:00      
RMCH Medicine Department Associate Prof Azizul Haque Azad confirmed the matter at a press briefing, held at the hospital on Saturday Rajshahi Medical College Hospital (RMCH) is currently treating 12 people, including one of its nurses, who have been showing coronavirus symptoms.  RMCH Medicine Department Associate Prof Azizul Haque Azad confirmed the matter at a press briefing, held at the hospital on Saturday. ""Of the patients, six are male and six are female. Most of them shall be released very   soon as their condition has improved."" said Prof Azizul Haque Azad. He said three males among them will be under close observation while the nurse has been kept in institutional isolation at the hospital as she has been suffering from fever for the last ten days and has other coronavirus symptoms.  On April 1, a test laboratory was installed at the RMCH and samples of eight persons were sent to the lab as of Friday.  Five samples were tested at the RMCH laboratory so far and all of them tested negative, said hospital sources.  Rajshahi District Administration sources on Saturday said around 2,959 people returned home to the district since March 1. Among them, 1,080 were sent to home quarantine. Deputy Commissioner Md Hamidul Haque said: ""We are working to collect samples from all upazilas of the district. We are also ensuring that no patient remains untreated, as well as making sure no unemployed people remain unfed during the shutdown."" In Bangladesh, until Saturday, the deadly coronavirus has infected at least 70 people and killed eight, according to health authorities."
2,"Date Published:2019-06-03 00:00:00      
The committee will announce the Eid date after reviewing information on the sighting of the moon The National Moon-Sighting Committee will sit for a meeting to decide the date of Eid-ul-Fitr, the biggest religious festival of the Muslims. A press release said the meeting will be held at the Islamic Foundation's Baitul Mukarram office around 7:15pm on Tuesday evening, reports BSS. The meeting will be chaired by the state minister of religious affairs and moon sighting committee Chairman Sheikh Md Abdullah. The committee will announce the date of Eid-ul-Fitr after reviewing information on the sighting of the moon of Shawwal month. People have been requested to inform the committee over the following phone and fax numbers if they see the Shawwal moon anywhere in the sky of Bangladesh, the release added. The phone numbers are: 9559493, 9559643, 9555947, 9556407 and 9558337, while the fax numbers are 9563397 and 95559."
3,"Date Published:2020-02-01 00:00:00      
He is optimistic about being elected mayor BNP's Dhaka South City Corporation (DSCC) mayoral candidate Ishraque Hossain has said he is prepared to face any obstacle during the polls, and will remain optimistic about the race till the end. He made the statement while speaking to reporters after casting his vote at Shahid Shahjahan Government Primary School in the capital's Gopibag area around 8:50am on Saturday. He said: ""I voted for the first time in my life today [Saturday], hence I decided to cast my first vote for BNP."" Ishraque also expressed his optimism about being elected as the mayor in Dhaka South City Corporation (DSCC). BNP's Dhaka South City Corporation (DSCC) mayoral candidate Ishraque Hossain speaks to reporters after casting his vote at Shahid Shahjahan Government Primary School in Gopibag area on February 1, 2020 | Mehedi Hasan/Dhaka Tribune When asked about voting through electronic voting machines (EVM), he said: ""I was able to vote properly through EVM; however, the general public is not very informed about the way these machines work.""  He further mentioned: ""Therefore, a biased election is possible if the EVMs are deceptively programmed."" The BNP-backed mayoral candidate said they have created a monitoring cell to keep watch over the various polling stations in the area. He also alleged: ""Some Awami League men have tried to disconnect the CCTV cameras at the polling centres. ""We have also heard that some men attempted to cast votes illegally through EVMs the night before the election day at Bangshal area."" He added that BNP activists have filed a complaint with the mobile court magistrate for the election in this regard."
4,"Date Published:2020-04-10 00:00:00      
Nusrat's family to this day remain under police protection as they continue to receive threats from prime accused Sirajuddaula's cohorts and followers A year had passed since the murder of Nusrat Jahan Rafi, an alim examinee of Sonagazi Islamia Senior Fazil Madrasa in Feni. But her family still awaits implementation of the verdict against the accused in her murder case. On April 6 last, the 18-year-old was set on fire in broad daylight on the roof of the madrasa by people loyal to principal Sirajuddaula, when she refused to withdraw a sexual harassment case her family filed against Sirajuddaula.  After battling for life for four days, she succumbed to her critical burn injuries at the Dhaka Medical College Hospital on April 10, which sparked nationwide outrage and public demand for swift justice against the perpetrators.  On October 24, following a trial all 16 accused were proven guilty, and a Feni court awarded them death sentence under Section 4(1)/30 of the Woman and Children Repression Prevention Act 2000. However, Nusrat's family till this day remain under police protection as they continue to receive threats from Sirajuddaula's cohorts and followers. ""I cannot sleep, thinking of the pain Nusrat had gone through when she was burnt alive,"" said Nusrat's mother, Shirin Akhter. ""We were happy with the verdict and we know the whole country is with us, still I don't understand why the sentence is not being carried out yet?"" she asks with agony. Nusrat's brother Mahmudul Hasan said they constantly receive threats and also have been targeted in social media by the wellwishers of the convicts ever since the murder took place. He said: ""My sister gave her life to fight for her honour and it seems like it has no end."" The Public Prosecutor of the court Adv Hafez Ahmed said the prompt prosecution of the case could not have been possible without Prime Minister Sheikh Hasina's direct involvement and her assurance of providing proper justice to the girl. ""We are satisfied with the verdict. But the ongoing trial should soon be addressed and justice should be given to the family as they are waiting for long,"" the lawyer added. The convicts are prime accused SM Sirajuddaula, who orchestrated Nusrat's murder, Nur Uddin, Shahdat Hossain Shamim, Maksud Alam, Saifur Rahman Md Zobayer, Sakhawat Hossain Jabed, Abdul Kader, Absar Uddin, Kamrun Nahar Moni, Umme Sultana Popy, Abdur Rahim Sharif, Eftekhar Uddin Rana, Imran Hossain Mamun, Mohammad Shamim, Ruhul Amin, and Mohiuddin Shakil."
5,"Date Published:2020-04-14 00:00:00      
The earthquake, measuring 3.6 magnitude on the Richter scale, lasted for a few seconds A mild tremor jolted different parts of Sylhet early Tuesday.  The earthquake, measuring 3.6 magnitude on the Richter scale, was felt at 3:43am which lasted for a few seconds, according to Sylhet Meteorological Department, reports UNB.  Quamrul Islam, a resident of city's Lalbazar area, said he felt the tremor as the building trembled for a few seconds.  However, no casualty was reported."
8,"TV Review; 'Politics of Food,' on Channel 13
1988-01-06T05:00:00.000Z
''THE Politics of Food'' examines worldwide hunger and finds it's the fault of the West. Western creditors and governments, particularly the United States, have joined to choke off world food supplies. The two-hour documentary, on Channel 13 at 10 o'clock tonight, is provocative, but it doesn't have much breadth.
The documentary - produced by an international consortium headed by Britain's Yorkshire Television, and narrated by Martin Sheen -visits Minnesota, Brazil, the Sudan, Bangladesh and India. Dispossessed farmers in Minnesota, it finds, have conterparts in the third world; they are all burdened by debt, manipulated by creditors and forced off the land by big business.
Consequently, much of the world goes hungry, even though there is ample food. The world distribution process, the documentary says, is faulty. Grain and other surpluses pile up in the West, while millions of people starve to death or suffer from malnutrition.
The documentary is persuasive about this. How could it not be? The West does indeed have food surpluses, and much of the world does starve. Why does this happen? The documentary suggests that a principal villain is the World Bank, which forces debtor nations to grow cash crops, rather than food that will feed their people.
Nonetheless, the documentary does seem a shade simplistic. Revolutions and wars, one thinks, have done at least as much to disrupt third-world food supplies as bureaucrats in Washington or on Wall Street. At the same time, ''The Politics of Food'' is ambivalent about centralized economies. Are they good or bad? The documentary wants it both ways.
Thus it pleads for family farmers the world over; it argues for rural economies, where governments and banks stay off the farmers' backs. That's decentralization. On the other hand, the only bright spot the documentary seems able to find is a region in India that makes grants to the poor, practices land reform and regulates food prices. That's not decentralization.
On television, however, the region is prettily filmed. Mr. Sheen says the inhabitants even elect Communists to office, and that the system is such that ''everything is shared more equally.'' Well, perhaps, but surely world hunger is more complicated than that.
The documentary concludes with a warning about ''antidemocratic structures.'' It says they ''are the main cause of hunger.'' That's sufficiently vague to include many things, but whatever they are, they all have their roots in the West. ''The Politics of Food'' is interesting, but it never looks beyond its own horizon."
9,"Date Published:2019-11-12 00:00:00      
The community health workers are unsung heroes and have been a powerful workforce in promoting health services around the world An International Symposium on Community Health Workers (CHWs) 2019 will be held at the Pan Pacific Sonargaon in Dhaka. International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b) will jointly organize  the three-day event in association with the Directorate General of Health Services (DGHS), James P Grant School of Public Health (JPGSPH), and Save the Children, Bangladesh from November 22 to 24. The announcement was made at a press conference held at MIS conference room, DGHS, in Dhaka's Mohakhali on Tuesday. This year's theme is titled - ""Potentials of Community Health Workers in Prevention and Control of Non-communicable Diseases (NCDs) in the Context of Universal Health Coverage (UHC)."" During the press conference, Additional Director General (Admin) of DGHS Prof Nasima Sultana said: ""The community health workers are unsung heroes and have been a powerful workforce in promoting health services around the world ... presently, the CHWs are considered as 'alternative solutions' and has received increased attention in many LMICs including Bangladesh."" She also spoke about the prevalence of non-communicable diseases in low- and middle-income countries including Bangladesh. The Dhaka Symposium brings academics, health experts, development partners, and other relevant professionals to a common platform to discuss about the successes and challenges with the CHWs.  The symposium is supported by the USAID, European Union, UKaid, Management Sciences for Health, Bangladesh (MSH), Vital Strategies, Brac, Unicef, United Nations Population Fund (UNFPA), and WHO. The symposium has received immense interest from the participants around the world. About 500 participants from more than 35 countries have registered in this symposium to gain practical knowledge and experience about CHWs related policy and programs."
13,"Date Published:2020-04-11 00:00:00      
Food supplies and other relief materials allocated for people in need are continuously being misappropriated across the country despite being intercepted by administration  Local influentials, union parishad members, and Open Market Sale (OMS) rice distributors continue to steal rice from government food relief programs across the country.  Police seized 356 sacks of illegally stored relief rice and arrested a number of people involved in rice misappropriation between Thursday and yesterday.  In Jamalpur, police seized 7,440 kg (126 sacks) of rice yesterday, from OMS rice dealer Tofazzol Hossain Tufan, who illegally stored it in a Nurundi market godown in Sadar upazila. Tufan is the vice president of Tolshirchar union Awami League unit. He is currently under police custody and a case will be filed against him, said Jamalpur Sadar police station OC Md Salemuzzaman. In Netrokona, police seized 90 sacks of rice from local OMS rice dealer Aminur Rahman Shakil on Friday in Roailbari union of Kendua upazila.  Shakil is the son of Roailbari union Awami League general secretary. Police detained trader Saiful Miya in connection with the incident. In Rangpur, police seized 90 sacks of rice from Vendabari union in Pirgonj upazila early Thursday.   Pirgonj police station OC Saresh Chandra said a tractor was illegally transporting 38kg of rice when police seized it on Vendabari road.  Police detained tractor driver Ismail and his assistant Ismail from the spot and later raided three houses where they found the rest of the relief rice.  In Bogra, police arrested a Krishak League leader accused in a case filed by police for misappropriating 50 sacks of rice in Hashraj village in Sonatala upazila. The accused, Mithu Mondal, 35, was sent to jail on Friday. In Comilla, a union parishad member was arrested and the OMS rice dealing license of one Abdus Kuddus Sarkar was cancelled for rice misappropriation in Debidwar upazila. The arrested UP member is Abdul Mannan Molla. Abdus Kuddus is the elder brother of a union parishad chairman."
14,"Date Published:2020-03-19 00:00:00      
Mahatab Hossain Chowdhury, general secretary of Transport Workers Union, confirmed the matter, reports UNB Transport Workers Union of the Rajshahi district on Thursday suspended all the long-haul bus services from Rajshahi aiming to curb the spread of coronavirus or Covid-19. Mahatab Hossain Chowdhury, general secretary of Transport Workers Union, confirmed the matter, reports UNB. Mahbub said the movement of people has declined significantly amid fear of coronavirus, causing huge losses to transport owners.   Meanwhile, Bangladesh has confirmed the detection of 17 coronavirus cases so far and one death."
15,"Date Published:2020-03-18 00:00:00      
RAB also seized huge jehadi books, leaflets and other Islami books, a mobile phone and a SIM card from their possession A special team of Rapid Action Battalion (RAB) in a drive arrested three members including Assistant Nayek of banned militant outfit 'Allahar Dal' from the city on Monday night. The arrested were identified as Md Rakib Hasan, 24, son of Abdur Razzak Biswas also an assistant nayek of Jessore 'Allahar Dal', resident of Chougacha upazila, Ashikuzzaman Ashikul, 36, son of Ali Hossain and Shafiqul Islam, 39, son of Mofazzel Hossain of Jhikargachha upazila under the district. Acting on a tip-off, a special operation team of the RAB-6 conducted the drive in No-4 Food Ghat Jame Mosque area under Ward no-21 in the city around 11.30 pm and nabbed the trio while they loitering there, said a press release issued by RAB-6 yesterday.  The elite force also seized huge jehadi books, leaflets and other Islami books, a mobile phone and a SIM card from their possession. During interrogation, the detained persons confessed that they have been participating in secret meetings regularly and collecting new members and money for running their activities in the area since long, the release said, adding that the RAB members arrested a total of 12 'Allahar Dal' members from the city in last 10 months."
